ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Country,Sport,Event,Medal
98549,Khushi Ram,M,36,NA,NA,India,IND,1952 Summer,1952,Summer,Helsinki,Finland,Gymnastics,Gymnastics Men's Horizontal Bar,NA
98549,Khushi Ram,M,36,NA,NA,India,IND,1952 Summer,1952,Summer,Helsinki,Finland,Gymnastics,Gymnastics Men's Rings,NA
98549,Khushi Ram,M,36,NA,NA,India,IND,1952 Summer,1952,Summer,Helsinki,Finland,Gymnastics,Gymnastics Men's Pommelled Horse,NA
98550,Lila Ram Sangwan,M,25,NA,NA,India,IND,1956 Summer,1956,Summer,Melbourne,Australia,Wrestling,"Wrestling Men's Heavyweight, Freestyle",NA
98551,Limba Ram,M,16,157,48,India,IND,1988 Summer,1988,Summer,Seoul,South Korea,Archery,Archery Men's Individual,NA
98551,Limba Ram,M,16,157,48,India,IND,1988 Summer,1988,Summer,Seoul,South Korea,Archery,Archery Men's Team,NA
98551,Limba Ram,M,20,157,48,India,IND,1992 Summer,1992,Summer,Barcelona,Spain,Archery,Archery Men's Individual,NA
98551,Limba Ram,M,20,157,48,India,IND,1992 Summer,1992,Summer,Barcelona,Spain,Archery,Archery Men's Team,NA
98551,Limba Ram,M,24,157,48,India,IND,1996 Summer,1996,Summer,Atlanta,United States of America,Archery,Archery Men's Individual,NA
98551,Limba Ram,M,24,157,48,India,IND,1996 Summer,1996,Summer,Atlanta,United States of America,Archery,Archery Men's Team,NA
98553,Siri Chand Ram,M,26,178,68,India,IND,1984 Summer,1984,Summer,Los Angeles,United States of America,Athletics,Athletics Men's 20 kilometres Walk,NA
98558,Raghunath Vokkaliga Ramachandra,M,23,179,89,India,IND,2012 Summer,2012,Summer,London,England,Hockey,Hockey Men's Hockey,NA
98558,Raghunath Vokkaliga Ramachandra,M,27,179,89,India,IND,2016 Summer,2016,Summer,Rio de Janeiro,Brazil,Hockey,Hockey Men's Hockey,NA
98559,S. Purukottam Ramachandran,M,29,180,68,India,IND,2000 Summer,2000,Summer,Sydney,Australia,Athletics,Athletics Men's 4 x 400 metres Relay,NA
98588,Sarangapari Dhanraj Raman,M,NA,NA,NA,India,IND,1948 Summer,1948,Summer,London,England,Football,Football Men's Football,NA
98750,Rani Rampal,F,21,160,60,India,IND,2016 Summer,2016,Summer,Rio de Janeiro,Brazil,Hockey,Hockey Women's Hockey,NA
98793,Amarjit Singh Rana,M,20,175,63,India,IND,1980 Summer,1980,Summer,Moskva,Russia,Hockey,Hockey Men's Hockey,Gold
98794,Basant Bahadur Rana,M,28,172,76,India,IND,2012 Summer,2012,Summer,London,England,Athletics,Athletics Men's 50 kilometres Walk,NA
98796,Jaspal Rana,M,20,NA,NA,India,IND,1996 Summer,1996,Summer,Atlanta,United States of America,Shooting,"Shooting Men's Air Pistol, 10 metres",NA
98796,Jaspal Rana,M,20,NA,NA,India,IND,1996 Summer,1996,Summer,Atlanta,United States of America,Shooting,"Shooting Men's Free Pistol, 50 metres",NA
98854,Ponnuswamy Rangaswamy,M,27,NA,56,India,IND,1992 Summer,1992,Summer,Barcelona,Spain,Weightlifting,Weightlifting Men's Bantamweight,NA
98870,Poonam Rani,F,23,152,53,India,IND,2016 Summer,2016,Summer,Rio de Janeiro,Brazil,Hockey,Hockey Women's Hockey,NA
98911,Kelly Subbanand Rao,M,25,183,73,India,IND,1988 Summer,1988,Summer,Seoul,South Korea,Sailing,Sailing Men's Two Person Dinghy,NA
98912,Mary Leela Rao,F,NA,NA,NA,India,IND,1956 Summer,1956,Summer,Melbourne,Australia,Athletics,Athletics Women's 100 metres,NA
98913,Sunitha Rao,F,22,170,63,India,IND,2008 Summer,2008,Summer,Beijing,China,Tennis,Tennis Women's Doubles,NA
98914,Vandana Rao,F,21,168,54,India,IND,1984 Summer,1984,Summer,Los Angeles,United States of America,Athletics,Athletics Women's 4 x 400 metres Relay,NA
98914,Vandana Rao,F,25,168,54,India,IND,1988 Summer,1988,Summer,Seoul,South Korea,Athletics,Athletics Women's 4 x 400 metres Relay,NA
99062,Viren Wilfred Rasquinha,M,23,170,65,India,IND,2004 Summer,2004,Summer,Athina,Greece,Hockey,Hockey Men's Hockey,NA
99080,Karam Rasul Kashmiri,M,25,NA,NA,India,IND,1936 Summer,1936,Summer,Berlin,Germany,Wrestling,"Wrestling Men's Middleweight, Freestyle",NA
99103,Rajyavardhan Singh Rathore,M,34,188,85,India,IND,2004 Summer,2004,Summer,Athina,Greece,Shooting,Shooting Men's Double Trap,Silver
99103,Rajyavardhan Singh Rathore,M,38,188,85,India,IND,2008 Summer,2008,Summer,Beijing,China,Shooting,Shooting Men's Double Trap,NA
99208,Sreejesh Parattu Raveendran,M,24,183,79,India,IND,2012 Summer,2012,Summer,London,England,Hockey,Hockey Men's Hockey,NA
99208,Sreejesh Parattu Raveendran,M,28,183,79,India,IND,2016 Summer,2016,Summer,Rio de Janeiro,Brazil,Hockey,Hockey Men's Hockey,NA
99271,Gene Vivienne Raymond,M,29,NA,NA,India,IND,1948 Summer,1948,Summer,London,England,Boxing,Boxing Men's Lightweight,NA
99388,Henry Malcolm Rebello,M,19,NA,NA,India,IND,1948 Summer,1948,Summer,London,England,Athletics,Athletics Men's Triple Jump,NA
99466,Buss Sumeeth Reddy,M,24,182,64,India,IND,2016 Summer,2016,Summer,Rio de Janeiro,Brazil,Badminton,Badminton Men's Doubles,NA
99627,Thazhatheri Abdul Rehman,M,NA,NA,NA,India,IND,1956 Summer,1956,Summer,Melbourne,Australia,Football,Football Men's Football,NA
99631,Latif-ur Rehman,M,19,NA,NA,India,IND,1948 Summer,1948,Summer,London,England,Hockey,Hockey Men's Hockey,Gold
101590,Michael E. Rocque,M,NA,NA,NA,India,IND,1928 Summer,1928,Summer,Amsterdam,Netherlands,Hockey,Hockey Men's Hockey,Gold
101695,Reginald Neville Rodrigues,M,26,NA,NA,India,IND,1948 Summer,1948,Summer,London,England,Hockey,Hockey Men's Hockey,Gold
103061,Keshav Pravad Roy,M,NA,NA,NA,India,IND,1948 Summer,1948,Summer,London,England,Wrestling,"Wrestling Men's Middleweight, Freestyle",NA
103068,Niyati Roy-Shah,F,22,NA,NA,India,IND,1988 Summer,1988,Summer,Seoul,South Korea,Table Tennis,Table Tennis Women's Singles,NA
