,Fighter Name,Nickname,W,L,D,Height,Weight,Reach,Stance,DOB,Age,SLPM,SAPM,STRA,STRD,TD,TDA,TDD,SUBA
2941,Gary Tapusoa,None,6,2,0,"5' 7""",185 lbs.,NA,NA,NA,0,0,0,0,0,0,0,0,0
2942,Miesha Tate,Cupcake,18,7,0,"5' 6""",135 lbs.,"65""",Orthodox,18-Aug-86,34,1.93,2.71,0.41,0.5,2.06,0.31,0.52,1.6
2943,Deividas Taurosevicius,None,13,5,0,"5' 9""",145 lbs.,"68""",Southpaw,28-Aug-77,43,2.13,1.82,0.43,0.59,2,0.28,0.5,0.3
2944,Thiago Tavares,None,24,7,1,"5' 7""",145 lbs.,"68""",Orthodox,8-Nov-84,36,2,2.31,0.4,0.62,3.83,0.42,0.62,1.5
2945,Jeremy Tavares,None,1,5,0,NA,135 lbs.,NA,NA,NA,0,0,0,0,0,0,0,0,0
2946,Brad Tavares,None,17,7,0,"6' 1""",185 lbs.,"74""",Orthodox,21-Dec-87,33,3.15,2.51,0.42,0.56,1.16,0.32,0.76,0
2947,Paul Taylor,Relentless,11,6,1,"6' 0""",155 lbs.,"72""",Orthodox,15-Dec-79,41,4.44,4.47,0.47,0.55,0.27,0.25,0.56,0.5
2948,Jesse Taylor,JT Money,33,15,0,"6' 0""",170 lbs.,"73""",Orthodox,2-Jan-83,37,1.94,0.55,0.65,0.38,7.28,0.5,1,3.1
2949,Torrance Taylor,None,10,7,1,"5' 7""",155 lbs.,NA,NA,NA,0,0,0,0,0,0,0,0,0
2950,Louis Taylor,BeastMode,11,3,0,"5' 11""",185 lbs.,"74""",Orthodox,12-May-79,41,2.06,1.24,0.32,0.68,2.48,0.28,1,0
2951,Anthony Taylor,Pretty Boy,1,3,0,"5' 7""",145 lbs.,NA,NA,NA,0,0,0,0,0,0,0,0,0
2952,Danielle Taylor,Dynamite,9,4,0,"5' 0""",115 lbs.,"60""",Orthodox,25-Oct-89,31,2.98,2.6,0.3,0.78,0.33,0.33,0.66,0
2953,J.T Taylor,The Outlaw,7,7,0,"5' 10""",NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
2954,James Te Huna,None,18,9,0,"6' 2""",185 lbs.,"75""",Orthodox,29-Sep-81,39,4.04,2.99,0.51,0.62,2.75,0.37,0.58,0.2
2955,Shawn Teed,None,5,1,0,"6' 5""",265 lbs.,"79""",Orthodox,13-Feb-92,28,NA,NA,NA,NA,NA,NA,NA,NA
2956,Glover Teixeira,None,30,7,0,"6' 2""",205 lbs.,"76""",Orthodox,28-Oct-79,41,3.71,3.53,0.42,0.57,2.33,0.5,0.59,0.7
2957,John Teixeira,Macapa,14,1,1,"5' 7""",145 lbs.,NA,Orthodox,18-Nov-86,34,3.36,3.2,0.35,0.63,1,0.27,0.71,0.7
2958,Ewerton Teixeira,None,3,1,0,"6' 1""",242 lbs.,NA,NA,13-Feb-82,38,2,3.22,0.39,0.35,0,0,0.33,0
2959,Tra Telligman,Trauma,7,5,1,"6' 2""",233 lbs.,NA,Orthodox,7-Feb-65,55,1.83,3.02,0.35,0.56,0.87,1,0.8,0
2960,Herman Terrado,None,8,2,1,NA,170 lbs.,NA,NA,NA,0,0,0,0,0,0,0,0,0
2961,Dave Terrel,The Bionic,7,6,0,"5' 8""",170 lbs.,NA,Southpaw,10-May-78,42,5.58,5.71,0.44,0.48,0,0,1,0
2962,David Terrell,The Soul Assassin,6,2,0,"6' 1""",185 lbs.,NA,Southpaw,9-Jan-78,42,2.34,2.71,0.63,0.37,5.54,0.5,0,5.5
2963,James Terry,Intensity,16,8,0,"5' 10""",170 lbs.,NA,Orthodox,16-Mar-81,39,3.23,4.77,0.32,0.64,3.31,0.36,0.75,0
2964,Jeff Terry,None,2,3,0,"6' 2""",205 lbs.,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
2965,David Teymur,None,8,2,0,"5' 9""",155 lbs.,"73""",Southpaw,1-May-89,31,4.81,3.17,0.45,0.55,1.4,0.33,0.75,0
2966,Daniel Teymur,Kid Dynamite,7,4,0,"5' 5""",145 lbs.,"69""",Orthodox,3-Feb-88,32,4.6,6.2,0.53,0.46,0,0,0.66,0
2967,Motonobu Tezuka,None,19,6,4,"5' 7""",135 lbs.,"66""",Southpaw,29-Aug-87,33,0.87,2.8,0.23,0.51,1.5,0.11,0,0.5
2968,Jason Thacker,None,0,1,0,"5' 10""",185 lbs.,NA,Orthodox,18-Aug-75,45,0.63,17.05,0.33,0.32,0,0,0,0
2969,Brandon Thatch,Rukus,11,5,0,"6' 2""",170 lbs.,"74""",Switch,11-Jul-85,35,2.7,3.63,0.42,0.52,1.36,0.66,0.5,0.7
2970,Elias Theodorou,The Spartan,17,3,0,"6' 1""",185 lbs.,"75""",Orthodox,31-May-88,32,3.77,1.88,0.4,0.56,1.79,0.3,0.53,0
2971,Nik Theotikos,None,6,2,0,NA,185 lbs.,NA,Orthodox,NA,0,0,5.48,0,0.19,0,0,0,4.8
2972,Paulo Thiago,None,15,8,0,"5' 11""",170 lbs.,"73""",Orthodox,25-Jan-81,39,1.71,1.99,0.39,0.63,1.42,0.31,0.63,1.2
2973,Din Thomas,Dinyero,25,8,0,"5' 9""",155 lbs.,NA,Orthodox,28-Sep-76,44,1.85,2.6,0.37,0.59,1.38,0.52,0.76,1.2
2974,Ryan Thomas,The Tank Engine,12,7,0,"6' 0""",170 lbs.,NA,Orthodox,5-Nov-84,36,2.01,4.17,0.36,0.3,5.59,0.33,0,2.2
2975,Noah Thomas,None,14,7,0,"5' 9""",135 lbs.,NA,Orthodox,27-Mar-81,39,0.44,4.99,0.13,0.33,0,0,0,1.3
2976,Treston Thomison,None,10,6,0,"5' 8""",145 lbs.,NA,NA,NA,0,0,0,0,0,0,0,0,0
2977,Nick Thompson,The Goat,38,14,1,"6' 1""",170 lbs.,"74""",Orthodox,23-Jun-81,39,1.87,1.8,0.42,0.49,1.06,1,0.35,2.6
2978,James Thompson,The Colossus,16,14,0,"6' 5""",265 lbs.,NA,Orthodox,16-Dec-78,42,5.13,3.19,0.52,0.41,3.14,0.36,0.53,1.3
2979,Oli Thompson,None,9,4,0,"6' 1""",242 lbs.,"75""",Orthodox,2-Jan-80,40,1.66,5.31,0.46,0.46,0,0,0.5,0.5
2980,Stephen Thompson,Wonderboy,15,4,1,"6' 0""",170 lbs.,"75""",Orthodox,11-Feb-83,37,3.81,2.66,0.44,0.59,0.48,0.5,0.78,0
2981,Josh Thomson,The Punk,21,8,0,"5' 10""",155 lbs.,"71""",Orthodox,21-Sep-78,42,2.59,2.12,0.47,0.64,1.92,0.39,0.54,1.3
2982,Simeon Thoresen,The Grin,17,4,1,"6' 1""",170 lbs.,"79""",Orthodox,14-Mar-84,36,3.85,3.85,0.43,0.64,1.12,0.4,0.5,1.7
2983,Josh Thornburg,None,7,5,0,"6' 0""",170 lbs.,NA,NA,24-May-84,36,1.2,3.13,0.5,0.38,2,0.66,0.42,2
2984,Gleison Tibau,None,40,14,0,"5' 10""",155 lbs.,"71""",Southpaw,7-Oct-83,37,1.95,2.37,0.33,0.63,4.3,0.54,0.92,0.9
2985,Chris Tickle,BadBoy,7,5,0,"5' 9""",155 lbs.,NA,NA,1-Feb-82,38,1.07,1.13,0.4,0.43,1,0.25,0.2,2
2986,Nolan Ticman,None,4,3,0,"5' 6""",125 lbs.,"69""",Orthodox,17-May-88,32,2.57,2.53,0.47,0.67,0,0,0.6,0
2987,Darren Till,The Gorilla,18,2,1,"6' 0""",170 lbs.,"74""",Southpaw,24-Dec-92,28,3.18,3.25,0.52,0.62,0.8,0.33,0.82,0
2988,Brett Tillis,None,0,0,0,NA,145 lbs.,NA,NA,NA,0,0,0,0,0,0,0,0,0
2989,Ryan Tobar,None,3,3,0,NA,155 lbs.,NA,NA,NA,0,0,0,0,0,0,0,0,0
2990,Andrew Todhunter,The Sniper,8,0,0,"6' 0""",185 lbs.,"72""",Switch,30-Nov-87,33,0,0,0,0,0,0,0,0
2991,Hideo Tokoro,None,30,25,1,"5' 7""",135 lbs.,NA,Orthodox,22-Aug-77,43,1.78,2.01,0.37,0.65,0.87,0.34,0.44,2.3
2992,Anatoly Tokov,None,25,2,0,"5' 10""",185 lbs.,NA,NA,17-Feb-90,30,3.51,0.54,0.72,0.66,2.03,1,1,0
2993,Kazuki Tokudome,None,12,6,1,"5' 11""",155 lbs.,"73""",Southpaw,4-Mar-87,33,2.26,3.63,0.41,0.53,2,0.38,0.78,0
2994,Tyler Toner,None,12,3,0,"5' 8""",145 lbs.,"70""",Orthodox,31-Mar-83,37,2.95,2.13,0.52,0.62,0,0,0.54,0.4
2995,James Toney,Lights Out,0,1,0,"5' 9""",220 lbs.,NA,Orthodox,24-Aug-68,52,0,2.41,0,0.27,0,0,0,0
2996,Masanori Tonooka,None,1,2,0,"5' 8""",185 lbs.,NA,Orthodox,NA,0,0.16,1.09,0.05,0.36,0,0,0,0
2997,Carl Toomey,None,3,3,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
2998,Anthony Torres,The Crush,5,2,0,"5' 8""",170 lbs.,NA,Orthodox,31-Jul-78,42,3.54,7.52,0.48,0.45,0,0,1,2.2
2999,Miguel Torres,None,39,5,0,"5' 9""",135 lbs.,"76""",Orthodox,18-Jan-81,39,3.98,1.86,0.43,0.74,0,0,0.17,1.6
3000,Ronys Torres,None,22,4,0,"5' 7""",155 lbs.,NA,Orthodox,13-Aug-75,45,0.87,1.93,0.26,0.57,4,0.47,0.16,0.5
3001,Haven Torres,None,0,0,0,NA,125 lbs.,NA,NA,NA,0,0,0,0,0,0,0,0,0
3002,Tecia Torres,The Tiny Tornado,10,5,0,"5' 1""",115 lbs.,"60""",Orthodox,16-Aug-89,31,4.77,2.48,0.49,0.7,0.78,0.17,0.62,0.2
3003,Alex Torres,Rolo,2,2,0,"5' 10""",145 lbs.,"70""",Orthodox,29-May-88,32,2.47,2.73,0.37,0.69,2,0.22,0.5,0
3004,Abram Torres,None,4,3,0,"5' 10""",170 lbs.,NA,NA,29-Oct-82,38,0,0,0,0,0,0,0,0
3005,Jose Torres,Shorty,8,1,0,"5' 4""",125 lbs.,"65""",Orthodox,2-Aug-92,28,NA,NA,NA,NA,NA,NA,NA,NA
3006,Salim Touahri,Grizzly,10,4,0,"5' 10""",170 lbs.,"72""",Orthodox,28-Sep-89,31,2.33,2.53,0.47,0.6,0,0,0.71,0
3007,Minoru Toyonaga,None,2,5,0,"5' 11""",195 lbs.,NA,Southpaw,NA,0,0,0,0,0,0,0,0,0
3008,Roberto Traven,Spider,6,4,1,"6' 3""",227 lbs.,NA,Orthodox,16-Sep-68,52,0.92,2.77,0.5,0.57,0,0,0,0
3009,Bryan Travers,None,14,3,0,NA,155 lbs.,NA,NA,11-Apr-83,37,2.33,3.93,0.48,0.55,2,0.28,0.63,0
